epoch=87, lr=1.000000e-03, train_total=0.5377550, train_mask=0.3538908, val_total=0.5819981, val_nmse=0.2914767, val_mask=0.3631517, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=88, lr=1.000000e-03, train_total=0.5414348, train_mask=0.3544376, val_total=0.5776736, val_nmse=0.2868021, val_mask=0.3635894, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=89, lr=1.000000e-03, train_total=0.5491109, train_mask=0.3538133, val_total=0.5844184, val_nmse=0.2934918, val_mask=0.3636582, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=90, lr=1.000000e-03, train_total=0.5447660, train_mask=0.3537901, val_total=0.5979068, val_nmse=0.3079312, val_mask=0.3624695, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=91, lr=1.000000e-03, train_total=0.5420585, train_mask=0.3539651, val_total=0.5751232, val_nmse=0.2840561, val_mask=0.3638338, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=92, lr=1.000000e-03, train_total=0.5371445, train_mask=0.3540072, val_total=0.5810246, val_nmse=0.2901324, val_mask=0.3636153, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=93, lr=1.000000e-03, train_total=0.5406100, train_mask=0.3544376, val_total=0.5783778, val_nmse=0.2870496, val_mask=0.3641602, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=94, lr=1.000000e-03, train_total=0.5395324, train_mask=0.3541182, val_total=0.5691858, val_nmse=0.2780488, val_mask=0.3639212, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=95, lr=1.000000e-03, train_total=0.5398613, train_mask=0.3541718, val_total=0.5811065, val_nmse=0.2895245, val_mask=0.3644775, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=96, lr=1.000000e-03, train_total=0.5435027, train_mask=0.3541203, val_total=0.6023935, val_nmse=0.3100924, val_mask=0.3653764, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=97, lr=1.000000e-03, train_total=0.5463694, train_mask=0.3542456, val_total=0.5918425, val_nmse=0.3006828, val_mask=0.3639496, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=98, lr=1.000000e-03, train_total=0.5412511, train_mask=0.3541114, val_total=0.5770217, val_nmse=0.2859128, val_mask=0.3638862, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=99, lr=1.000000e-03, train_total=0.5466138, train_mask=0.3540691, val_total=0.5780085, val_nmse=0.2883923, val_mask=0.3620203, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=100, lr=1.000000e-03, train_total=0.5374387, train_mask=0.3543215, val_total=0.5744443, val_nmse=0.2819351, val_mask=0.3656365, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=101, lr=1.000000e-04, train_total=0.5185794, train_mask=0.3525504, val_total=0.5646754, val_nmse=0.2758929, val_mask=0.3609781, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=102, lr=1.000000e-04, train_total=0.5148695, train_mask=0.3525880, val_total=0.5585440, val_nmse=0.2684649, val_mask=0.3625989, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=103, lr=1.000000e-04, train_total=0.5133287, train_mask=0.3521521, val_total=0.5619752, val_nmse=0.2714619, val_mask=0.3631416, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=104, lr=1.000000e-04, train_total=0.5135338, train_mask=0.3521147, val_total=0.5612734, val_nmse=0.2713849, val_mask=0.3623606, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=105, lr=1.000000e-04, train_total=0.5109704, train_mask=0.3517356, val_total=0.5615214, val_nmse=0.2709246, val_mask=0.3632459, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=106, lr=1.000000e-04, train_total=0.5104259, train_mask=0.3519898, val_total=0.5615295, val_nmse=0.2712090, val_mask=0.3629007, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=107, lr=1.000000e-04, train_total=0.5091794, train_mask=0.3516774, val_total=0.5607822, val_nmse=0.2705586, val_mask=0.3627795, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=108, lr=1.000000e-04, train_total=0.5093713, train_mask=0.3515240, val_total=0.5633056, val_nmse=0.2742614, val_mask=0.3613051, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=109, lr=1.000000e-04, train_total=0.5086935, train_mask=0.3517585, val_total=0.5627607, val_nmse=0.2733811, val_mask=0.3617245, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=110, lr=1.000000e-04, train_total=0.5069156, train_mask=0.3517266, val_total=0.5616090, val_nmse=0.2723805, val_mask=0.3615356, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
