epoch=92, lr=1.000000e-03, train_total=0.1527927, train_mask=0.0000000, val_total=0.1601396, val_nmse=0.1601396, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=93, lr=1.000000e-03, train_total=0.1528193, train_mask=0.0000000, val_total=0.1620333, val_nmse=0.1620333, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=94, lr=1.000000e-03, train_total=0.1526493, train_mask=0.0000000, val_total=0.1621667, val_nmse=0.1621667, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=95, lr=1.000000e-03, train_total=0.1527829, train_mask=0.0000000, val_total=0.1586016, val_nmse=0.1586016, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=96, lr=1.000000e-03, train_total=0.1531473, train_mask=0.0000000, val_total=0.1590497, val_nmse=0.1590497, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=97, lr=1.000000e-03, train_total=0.1527112, train_mask=0.0000000, val_total=0.1606348, val_nmse=0.1606348, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=98, lr=1.000000e-03, train_total=0.1541545, train_mask=0.0000000, val_total=0.1596087, val_nmse=0.1596087, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=99, lr=1.000000e-03, train_total=0.1526443, train_mask=0.0000000, val_total=0.1609342, val_nmse=0.1609342, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=100, lr=1.000000e-03, train_total=0.1525672, train_mask=0.0000000, val_total=0.1584099, val_nmse=0.1584099, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=101, lr=1.000000e-04, train_total=0.1453416, train_mask=0.0000000, val_total=0.1534839, val_nmse=0.1534839, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=102, lr=1.000000e-04, train_total=0.1443152, train_mask=0.0000000, val_total=0.1544405, val_nmse=0.1544405, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=103, lr=1.000000e-04, train_total=0.1440251, train_mask=0.0000000, val_total=0.1537684, val_nmse=0.1537684, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=104, lr=1.000000e-04, train_total=0.1439450, train_mask=0.0000000, val_total=0.1539878, val_nmse=0.1539878, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=105, lr=1.000000e-04, train_total=0.1437818, train_mask=0.0000000, val_total=0.1548508, val_nmse=0.1548508, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=106, lr=1.000000e-04, train_total=0.1436495, train_mask=0.0000000, val_total=0.1556090, val_nmse=0.1556090, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=107, lr=1.000000e-04, train_total=0.1436465, train_mask=0.0000000, val_total=0.1545934, val_nmse=0.1545934, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=108, lr=1.000000e-04, train_total=0.1435742, train_mask=0.0000000, val_total=0.1545924, val_nmse=0.1545924, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=109, lr=1.000000e-04, train_total=0.1434684, train_mask=0.0000000, val_total=0.1555493, val_nmse=0.1555493, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=110, lr=1.000000e-04, train_total=0.1433832, train_mask=0.0000000, val_total=0.1545284, val_nmse=0.1545284, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=111, lr=1.000000e-04, train_total=0.1432361, train_mask=0.0000000, val_total=0.1549974, val_nmse=0.1549974, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=112, lr=1.000000e-04, train_total=0.1431997, train_mask=0.0000000, val_total=0.1555136, val_nmse=0.1555136, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=113, lr=1.000000e-04, train_total=0.1431896, train_mask=0.0000000, val_total=0.1545914, val_nmse=0.1545914, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=114, lr=1.000000e-04, train_total=0.1431292, train_mask=0.0000000, val_total=0.1556442, val_nmse=0.1556442, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=115, lr=1.000000e-04, train_total=0.1429959, train_mask=0.0000000, val_total=0.1558158, val_nmse=0.1558158, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=116, lr=1.000000e-04, train_total=0.1429712, train_mask=0.0000000, val_total=0.1553511, val_nmse=0.1553511, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=117, lr=1.000000e-04, train_total=0.1429038, train_mask=0.0000000, val_total=0.1558424, val_nmse=0.1558424, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=118, lr=1.000000e-04, train_total=0.1428966, train_mask=0.0000000, val_total=0.1554021, val_nmse=0.1554021, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=119, lr=1.000000e-04, train_total=0.1427346, train_mask=0.0000000, val_total=0.1556236, val_nmse=0.1556236, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=120, lr=1.000000e-04, train_total=0.1427031, train_mask=0.0000000, val_total=0.1555950, val_nmse=0.1555950, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=121, lr=1.000000e-04, train_total=0.1426909, train_mask=0.0000000, val_total=0.1553520, val_nmse=0.1553520, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=122, lr=1.000000e-04, train_total=0.1426288, train_mask=0.0000000, val_total=0.1549554, val_nmse=0.1549554, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=123, lr=1.000000e-04, train_total=0.1425778, train_mask=0.0000000, val_total=0.1555587, val_nmse=0.1555587, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
